"","city","population","x","y","radius","area","trasport_type","patients","id","cost","time"
"1","aalborg","298232","4317","3772","30.251","2809","car","10","1","10272","0.026"
"2","aalborg","298232","4317","3772","30.251","2809","car","10","2","14261","0.012"
"3","aalborg","298232","4317","3772","30.251","2809","car","10","3","12309","0.008"
"4","aalborg","298232","4317","3772","30.251","2809","car","10","4","11565","0.008"
"5","aalborg","298232","4317","3772","30.251","2809","car","10","5","9789","0.01"
"6","aalborg","298232","4317","3772","30.251","2809","car","10","6","11875","0.01"
"7","aalborg","298232","4317","3772","30.251","2809","car","10","7","11939","0.009"
"8","aalborg","298232","4317","3772","30.251","2809","car","10","8","9655","0.012"
"9","aalborg","298232","4317","3772","30.251","2809","car","10","9","9345","0.01"
"10","aalborg","298232","4317","3772","30.251","2809","car","10","10","7862","0.007"
"11","aarhus","531476","4329","3673","31.873","2809","car","10","1","7367","0.007"
"12","aarhus","531476","4329","3673","31.873","2809","car","10","2","7353","0.008"
"13","aarhus","531476","4329","3673","31.873","2809","car","10","3","9972","0.007"
"14","aarhus","531476","4329","3673","31.873","2809","car","10","4","7109","0.008"
"15","aarhus","531476","4329","3673","31.873","2809","car","10","5","12015","0.047"
"16","aarhus","531476","4329","3673","31.873","2809","car","10","6","13040","0.007"
"17","aarhus","531476","4329","3673","31.873","2809","car","10","7","8201","0.008"
"18","aarhus","531476","4329","3673","31.873","2809","car","10","8","5919","0.014"
"19","aarhus","531476","4329","3673","31.873","2809","car","10","9","6605","0.012"
"20","aarhus","531476","4329","3673","31.873","2809","car","10","10","9670","0.019"
"21","aberdeen","380841","3587","3844","37.5","2809","car","10","1","7267","0.014"
"22","aberdeen","380841","3587","3844","37.5","2809","car","10","2","9397","0.014"
"23","aberdeen","380841","3587","3844","37.5","2809","car","10","3","9673","0.016"
"24","aberdeen","380841","3587","3844","37.5","2809","car","10","4","5716","0.011"
"25","aberdeen","380841","3587","3844","37.5","2809","car","10","5","10314","0.01"
"26","aberdeen","380841","3587","3844","37.5","2809","car","10","6","9886","0.016"
"27","aberdeen","380841","3587","3844","37.5","2809","car","10","7","8143","0.014"
"28","aberdeen","380841","3587","3844","37.5","2809","car","10","8","6978","0.014"
"29","aberdeen","380841","3587","3844","37.5","2809","car","10","9","9211","0.018"
"30","aberdeen","380841","3587","3844","37.5","2809","car","10","10","10363","0.013"
"31","albacete","199564","3292","1848","30","2809","car","10","1","4411","0.015"
"32","albacete","199564","3292","1848","30","2809","car","10","2","2105","0.011"
"33","albacete","199564","3292","1848","30","2809","car","10","3","1992","0.01"
"34","albacete","199564","3292","1848","30","2809","car","10","4","7233","0.018"
"35","albacete","199564","3292","1848","30","2809","car","10","5","7418","0.013"
"36","albacete","199564","3292","1848","30","2809","car","10","6","6943","0.007"
"37","albacete","199564","3292","1848","30","2809","car","10","7","5517","0.007"
"38","albacete","199564","3292","1848","30","2809","car","10","8","9949","0.008"
"39","albacete","199564","3292","1848","30","2809","car","10","9","2326","0.035"
"40","albacete","199564","3292","1848","30","2809","car","10","10","5386","0.007"
"41","alicante-elche","1138319","3387","1758","33.592","2809","car","10","1","11814","0.009"
"42","alicante-elche","1138319","3387","1758","33.592","2809","car","10","2","12200","0.008"
"43","alicante-elche","1138319","3387","1758","33.592","2809","car","10","3","10359","0.009"
"44","alicante-elche","1138319","3387","1758","33.592","2809","car","10","4","8938","0.012"
"45","alicante-elche","1138319","3387","1758","33.592","2809","car","10","5","11886","0.01"
"46","alicante-elche","1138319","3387","1758","33.592","2809","car","10","6","11273","0.012"
"47","alicante-elche","1138319","3387","1758","33.592","2809","car","10","7","11866","0.014"
"48","alicante-elche","1138319","3387","1758","33.592","2809","car","10","8","7198","0.015"
"49","alicante-elche","1138319","3387","1758","33.592","2809","car","10","9","9945","0.013"
"50","alicante-elche","1138319","3387","1758","33.592","2809","car","10","10","11018","0.007"
"51","amsterdam","2739883","3974","3264","30.116","2809","car","10","1","11947","0.013"
"52","amsterdam","2739883","3974","3264","30.116","2809","car","10","2","8283","0.011"
"53","amsterdam","2739883","3974","3264","30.116","2809","car","10","3","8657","0.01"
"54","amsterdam","2739883","3974","3264","30.116","2809","car","10","4","11357","0.008"
"55","amsterdam","2739883","3974","3264","30.116","2809","car","10","5","10939","0.008"
"56","amsterdam","2739883","3974","3264","30.116","2809","car","10","6","10761","0.008"
"57","amsterdam","2739883","3974","3264","30.116","2809","car","10","7","10565","0.01"
"58","amsterdam","2739883","3974","3264","30.116","2809","car","10","8","14106","0.008"
"59","amsterdam","2739883","3974","3264","30.116","2809","car","10","9","12352","0.011"
"60","amsterdam","2739883","3974","3264","30.116","2809","car","10","10","11975","0.012"
"61","athens","3719119","5534","1772","32.665","2809","car","10","1","7615","0.028"
"62","athens","3719119","5534","1772","32.665","2809","car","10","2","6739","0.008"
"63","athens","3719119","5534","1772","32.665","2809","car","10","3","9255","0.095"
"64","athens","3719119","5534","1772","32.665","2809","car","10","4","5823","0.006"
"65","athens","3719119","5534","1772","32.665","2809","car","10","5","11102","0.007"
"66","athens","3719119","5534","1772","32.665","2809","car","10","6","6484","0.007"
"67","athens","3719119","5534","1772","32.665","2809","car","10","7","12768","0.007"
"68","athens","3719119","5534","1772","32.665","2809","car","10","8","6255","0.008"
"69","athens","3719119","5534","1772","32.665","2809","car","10","9","9526","0.013"
"70","athens","3719119","5534","1772","32.665","2809","car","10","10","5525","0.012"
"71","avignone","654892","3904","2330","30","2809","car","10","1","14276","0.012"
"72","avignone","654892","3904","2330","30","2809","car","10","2","13866","0.01"
"73","avignone","654892","3904","2330","30","2809","car","10","3","8497","0.008"
"74","avignone","654892","3904","2330","30","2809","car","10","4","9628","0.008"
"75","avignone","654892","3904","2330","30","2809","car","10","5","17646","0.007"
"76","avignone","654892","3904","2330","30","2809","car","10","6","12608","0.008"
"77","avignone","654892","3904","2330","30","2809","car","10","7","12086","0.013"
"78","avignone","654892","3904","2330","30","2809","car","10","8","14469","0.014"
"79","avignone","654892","3904","2330","30","2809","car","10","9","11255","0.017"
"80","avignone","654892","3904","2330","30","2809","car","10","10","12160","0.011"
"81","bamberg","435726","4384","2976","30","2809","car","10","1","8324","0.017"
"82","bamberg","435726","4384","2976","30","2809","car","10","2","9822","0.011"
"83","bamberg","435726","4384","2976","30","2809","car","10","3","9455","0.013"
"84","bamberg","435726","4384","2976","30","2809","car","10","4","13372","0.016"
"85","bamberg","435726","4384","2976","30","2809","car","10","5","10136","0.013"
"86","bamberg","435726","4384","2976","30","2809","car","10","6","10773","0.014"
"87","bamberg","435726","4384","2976","30","2809","car","10","7","11293","0.013"
"88","bamberg","435726","4384","2976","30","2809","car","10","8","11039","0.009"
"89","bamberg","435726","4384","2976","30","2809","car","10","9","12524","0.008"
"90","bamberg","435726","4384","2976","30","2809","car","10","10","8000","0.007"
"91","barcelona","4868660","3663","2067","39.062","2809","car","10","1","10955","0.012"
"92","barcelona","4868660","3663","2067","39.062","2809","car","10","2","10360","0.008"
"93","barcelona","4868660","3663","2067","39.062","2809","car","10","3","8360","0.008"
"94","barcelona","4868660","3663","2067","39.062","2809","car","10","4","9836","0.008"
"95","barcelona","4868660","3663","2067","39.062","2809","car","10","5","10243","0.007"
"96","barcelona","4868660","3663","2067","39.062","2809","car","10","6","9912","0.008"
"97","barcelona","4868660","3663","2067","39.062","2809","car","10","7","9062","0.009"
"98","barcelona","4868660","3663","2067","39.062","2809","car","10","8","8173","0.007"
"99","barcelona","4868660","3663","2067","39.062","2809","car","10","9","11860","0.007"
"100","barcelona","4868660","3663","2067","39.062","2809","car","10","10","11005","0.007"
"101","bari","1167192","4895","2025","38.065","2809","car","10","1","10575","0.008"
"102","bari","1167192","4895","2025","38.065","2809","car","10","2","13221","0.007"
"103","bari","1167192","4895","2025","38.065","2809","car","10","3","9464","0.007"
"104","bari","1167192","4895","2025","38.065","2809","car","10","4","16064","0.006"
"105","bari","1167192","4895","2025","38.065","2809","car","10","5","11060","0.015"
"106","bari","1167192","4895","2025","38.065","2809","car","10","6","13167","0.008"
"107","bari","1167192","4895","2025","38.065","2809","car","10","7","12108","0.022"
"108","bari","1167192","4895","2025","38.065","2809","car","10","8","11208","0.007"
"109","bari","1167192","4895","2025","38.065","2809","car","10","9","13731","0.01"
